Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 17:06:31,53,50,49,#353231,109,49,48,#6D3130,165,110,88,#A56E58,41,26,21,#291A15
2025-04-05 17:06:31,51,51,48,#333330,107,49,48,#6B3130,162,111,86,#A26F56,39,25,21,#271915
2025-04-05 17:06:31,54,51,50,#363332,108,49,49,#6C3131,165,111,87,#A56F57,41,25,21,#291915
2025-04-05 17:06:31,55,53,47,#37352F,109,49,49,#6D3131,163,112,88,#A37058,40,25,23,#281917
2025-04-05 17:06:31,53,51,45,#35332D,107,49,49,#6B3131,164,109,85,#A46D55,40,26,17,#281A11
2025-04-05 17:06:31,52,53,43,#34352B,109,49,50,#6D3132,165,109,87,#A56D57,42,25,17,#2A1911
2025-04-05 17:06:31,51,53,41,#333529,111,50,49,#6F3231,164,109,86,#A46D56,41,25,22,#291916
2025-04-05 17:06:31,52,50,42,#34322A,108,49,47,#6C312F,167,112,90,#A7705A,42,23,20,#2A1714
2025-04-05 17:06:31,52,55,45,#34372D,110,52,48,#6E3430,166,112,91,#A6705B,43,24,21,#2B1815
2025-04-05 17:06:31,51,51,45,#33332D,108,51,47,#6C332F,165,110,86,#A56E56,46,25,21,#2E1915
2025-04-05 17:06:32,53,52,49,#353431,108,49,50,#6C3132,164,110,86,#A46E56,44,25,22,#2C1916
2025-04-05 17:06:32,55,53,50,#373532,106,50,48,#6A3230,165,110,89,#A56E59,45,26,23,#2D1A17
2025-04-05 17:06:32,56,54,49,#383631,107,48,50,#6B3032,166,111,88,#A66F58,44,26,25,#2C1A19
2025-04-05 17:06:32,56,52,48,#383430,111,52,51,#6F3433,164,111,88,#A46F58,43,28,24,#2B1C18
2025-04-05 17:06:32,56,51,48,#383330,111,50,49,#6F3231,166,113,91,#A6715B,44,27,24,#2C1B18
2025-04-05 17:06:32,53,52,47,#35342F,108,49,47,#6C312F,167,111,89,#A76F59,45,29,24,#2D1D18
2025-04-05 17:06:32,56,53,45,#38352D,107,48,46,#6B302E,165,110,87,#A56E57,49,30,23,#311E17
2025-04-05 17:06:32,52,53,44,#34352C,108,48,45,#6C302D,166,110,88,#A66E58,51,37,28,#33251C
2025-04-05 17:06:32,49,50,44,#31322C,109,48,46,#6D302E,164,109,87,#A46D57,51,37,28,#33251C
2025-04-05 17:06:32,51,48,43,#33302B,108,48,48,#6C3030,163,109,87,#A36D57,56,35,31,#38231F
2025-04-05 17:06:32,49,51,46,#31332E,106,48,46,#6A302E,161,108,86,#A16C56,51,33,30,#33211E
2025-04-05 17:06:32,49,50,45,#31322D,106,48,47,#6A302F,163,109,84,#A36D54,56,38,31,#38261F
2025-04-05 17:06:32,49,50,43,#31322B,102,46,47,#662E2F,165,110,87,#A56E57,50,36,26,#32241A
2025-04-05 17:06:32,50,51,43,#32332B,102,47,46,#662F2E,165,109,86,#A56D56,51,35,29,#33231D
2025-04-05 17:06:32,50,50,45,#32322D,102,47,46,#662F2E,164,109,86,#A46D56,50,34,29,#32221D
2025-04-05 17:06:33,50,51,44,#32332C,103,47,46,#672F2E,165,109,87,#A56D57,48,33,28,#30211C
2025-04-05 17:06:33,50,51,45,#32332D,102,48,46,#66302E,165,109,86,#A56D56,44,30,25,#2C1E19
2025-04-05 17:06:33,50,50,43,#32322B,104,48,47,#68302F,165,109,87,#A56D57,50,34,28,#32221C
2025-04-05 17:06:33,52,50,45,#34322D,103,47,48,#672F30,164,109,86,#A46D56,48,33,29,#30211D
2025-04-05 17:06:33,53,49,46,#35312E,104,48,46,#68302E,164,108,86,#A46C56,47,32,28,#2F201C
2025-04-05 17:06:33,50,48,44,#32302C,104,47,46,#682F2E,167,111,89,#A76F59,44,30,27,#2C1E1B
2025-04-05 17:06:33,50,49,45,#32312D,104,47,47,#682F2F,168,110,89,#A86E59,46,31,26,#2E1F1A
2025-04-05 17:06:33,50,49,44,#32312C,104,47,47,#682F2F,167,111,88,#A76F58,47,30,25,#2F1E19
2025-04-05 17:06:33,50,49,44,#32312C,105,47,47,#692F2F,165,109,87,#A56D57,47,31,23,#2F1F17
2025-04-05 17:06:33,49,51,45,#31332D,105,46,46,#692E2E,168,110,89,#A86E59,46,30,26,#2E1E1A
2025-04-05 17:06:33,48,50,44,#30322C,105,47,47,#692F2F,165,109,87,#A56D57,46,30,26,#2E1E1A
2025-04-05 17:06:33,49,51,46,#31332E,105,46,46,#692E2E,167,109,87,#A76D57,46,30,26,#2E1E1A
2025-04-05 17:06:33,47,49,44,#2F312C,106,46,46,#6A2E2E,165,109,86,#A56D56,45,30,27,#2D1E1B
2025-04-05 17:06:33,48,50,45,#30322D,106,46,46,#6A2E2E,165,109,87,#A56D57,44,29,26,#2C1D1A
2025-04-05 17:06:33,50,48,44,#32302C,106,46,46,#6A2E2E,165,109,88,#A56D58,45,30,25,#2D1E19
2025-04-05 17:06:34,49,47,42,#312F2A,105,46,45,#692E2D,165,109,87,#A56D57,46,31,27,#2E1F1B
2025-04-05 17:06:34,48,47,43,#302F2B,105,46,46,#692E2E,165,110,87,#A56E57,46,30,26,#2E1E1A
2025-04-05 17:06:34,51,49,44,#33312C,105,46,45,#692E2D,165,110,88,#A56E58,45,30,26,#2D1E1A
2025-04-05 17:06:34,48,47,43,#302F2B,106,47,45,#6A2F2D,165,111,88,#A56F58,45,31,25,#2D1F19
2025-04-05 17:06:34,49,48,43,#31302B,104,45,44,#682D2C,166,110,89,#A66E59,46,31,25,#2E1F19
