Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 14:32:47,36,37,37,#242525,167,106,90,#A76A5A,193,124,104,#C17C68,69,50,40,#453228
2025-04-05 14:32:47,39,37,40,#272528,169,105,96,#A96960,189,123,102,#BD7B66,70,50,43,#46322B
2025-04-05 14:32:47,40,34,37,#282225,174,108,98,#AE6C62,189,124,105,#BD7C69,69,51,41,#453329
2025-04-05 14:32:47,36,37,39,#242527,166,105,93,#A6695D,190,123,105,#BE7B69,71,51,42,#47332A
2025-04-05 14:32:47,41,39,38,#292726,168,106,97,#A86A61,191,124,105,#BF7C69,70,51,46,#46332E
2025-04-05 14:32:47,39,36,37,#272425,169,104,97,#A96861,191,125,105,#BF7D69,71,52,46,#47342E
2025-04-05 14:32:47,40,37,38,#282526,169,105,95,#A9695F,190,125,105,#BE7D69,70,51,43,#46332B
2025-04-05 14:32:47,37,36,38,#252426,168,105,93,#A8695D,192,126,107,#C07E6B,69,51,43,#45332B
2025-04-05 14:32:47,41,38,36,#292624,170,105,97,#AA6961,190,124,105,#BE7C69,67,48,41,#433029
2025-04-05 14:32:47,38,36,39,#262427,168,105,94,#A8695E,189,124,104,#BD7C68,66,48,42,#42302A
2025-04-05 14:32:47,38,33,35,#262123,171,105,93,#AB695D,189,124,104,#BD7C68,66,49,43,#42312B
2025-04-05 14:32:47,40,37,38,#282526,169,104,96,#A96860,190,124,104,#BE7C68,68,48,43,#44302B
2025-04-05 14:32:47,34,34,37,#222225,170,107,96,#AA6B60,192,125,106,#C07D6A,68,49,44,#44312C
2025-04-05 14:32:47,37,35,39,#252327,168,106,96,#A86A60,191,125,106,#BF7D6A,65,49,42,#41312A
2025-04-05 14:32:47,35,35,38,#232326,170,108,101,#AA6C65,190,124,105,#BE7C69,67,49,40,#433128
2025-04-05 14:32:47,35,35,40,#232328,171,105,100,#AB6964,190,125,105,#BE7D69,66,50,42,#42322A
2025-04-05 14:32:47,35,35,40,#232328,171,105,99,#AB6963,190,125,106,#BE7D6A,67,52,42,#43342A
2025-04-05 14:32:47,35,36,36,#232424,169,107,99,#A96B63,191,125,107,#BF7D6B,69,51,42,#45332A
2025-04-05 14:32:48,38,35,38,#262326,170,107,99,#AA6B63,190,123,104,#BE7B68,70,50,43,#46322B
2025-04-05 14:32:48,40,37,38,#282526,169,106,99,#A96A63,191,124,105,#BF7C69,66,50,42,#42322A
