Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 14:26:05,42,36,37,#2A2425,111,59,58,#6F3B3A,211,145,119,#D39177,59,52,50,#3B3432
2025-04-05 14:26:05,34,30,34,#221E22,110,60,57,#6E3C39,211,145,118,#D39176,59,53,51,#3B3533
2025-04-05 14:26:05,38,37,33,#262521,113,58,57,#713A39,211,145,117,#D39175,62,53,50,#3E3532
2025-04-05 14:26:05,34,32,36,#222024,109,58,59,#6D3A3B,211,145,117,#D39175,61,52,51,#3D3433
2025-04-05 14:26:05,38,33,34,#262122,112,58,57,#703A39,211,146,119,#D39277,61,51,50,#3D3332
2025-04-05 14:26:05,38,31,31,#261F1F,114,58,58,#723A3A,211,145,119,#D39177,61,52,49,#3D3431
2025-04-05 14:26:05,35,32,33,#232021,114,58,58,#723A3A,210,144,118,#D29076,61,53,50,#3D3532
2025-04-05 14:26:06,36,33,36,#242124,112,58,59,#703A3B,210,144,117,#D29075,63,52,48,#3F3430
2025-04-05 14:26:06,37,33,33,#252121,114,58,59,#723A3B,210,144,118,#D29076,62,52,46,#3E342E
2025-04-05 14:26:06,35,31,33,#231F21,114,59,59,#723B3B,209,144,118,#D19076,61,54,49,#3D3631
2025-04-05 14:26:06,38,31,34,#261F22,113,58,59,#713A3B,209,144,118,#D19076,61,53,49,#3D3531
2025-04-05 14:26:06,37,31,35,#251F23,111,57,57,#6F3939,210,144,118,#D29076,61,53,48,#3D3530
2025-04-05 14:26:06,37,31,38,#251F26,112,57,59,#70393B,208,145,119,#D09177,60,52,48,#3C3430
2025-04-05 14:26:06,37,33,39,#252127,113,58,58,#713A3A,209,145,119,#D19177,59,52,48,#3B3430
2025-04-05 14:26:06,36,33,39,#242127,112,57,58,#70393A,208,145,118,#D09176,60,52,48,#3C3430
2025-04-05 14:26:06,36,33,36,#242124,113,58,59,#713A3B,208,145,119,#D09177,59,52,48,#3B3430
2025-04-05 14:26:06,37,31,36,#251F24,113,57,59,#71393B,208,144,118,#D09076,63,54,49,#3F3631
2025-04-05 14:26:06,38,32,39,#262027,111,57,59,#6F393B,209,144,119,#D19077,62,53,48,#3E3530
2025-04-05 14:26:06,38,31,40,#261F28,111,56,59,#6F383B,208,145,118,#D09176,62,53,51,#3E3533
2025-04-05 14:26:06,38,31,41,#261F29,111,56,59,#6F383B,207,145,118,#CF9176,62,54,51,#3E3633
2025-04-05 14:26:06,35,30,38,#231E26,111,57,58,#6F393A,208,144,118,#D09076,62,52,50,#3E3432
2025-04-05 14:26:06,33,34,35,#212223,111,57,57,#6F3939,208,144,118,#D09076,62,53,51,#3E3533
2025-04-05 14:26:06,33,30,34,#211E22,112,57,57,#703939,208,144,118,#D09076,61,53,51,#3D3533
2025-04-05 14:26:06,33,32,38,#212026,111,58,57,#6F3A39,209,144,119,#D19077,62,53,51,#3E3533
2025-04-05 14:26:06,32,31,39,#201F27,110,57,58,#6E393A,208,144,118,#D09076,62,54,49,#3E3631
2025-04-05 14:26:06,31,31,38,#1F1F26,110,58,58,#6E3A3A,208,143,119,#D08F77,62,54,49,#3E3631
2025-04-05 14:26:06,33,32,37,#212025,110,57,58,#6E393A,208,143,119,#D08F77,62,54,49,#3E3631
2025-04-05 14:26:06,33,31,36,#211F24,110,57,58,#6E393A,208,143,118,#D08F76,62,53,48,#3E3530
2025-04-05 14:26:06,33,33,34,#212122,110,57,59,#6E393B,208,143,119,#D08F77,61,52,49,#3D3431
2025-04-05 14:26:06,41,35,37,#292325,110,57,59,#6E393B,208,144,118,#D09076,60,54,51,#3C3633
2025-04-05 14:26:06,33,33,37,#212125,111,58,58,#6F3A3A,208,142,118,#D08E76,57,53,51,#393533
2025-04-05 14:26:07,36,37,38,#242526,109,56,57,#6D3839,207,141,117,#CF8D75,58,52,51,#3A3433
2025-04-05 14:26:07,38,38,45,#26262D,109,57,57,#6D3939,206,142,118,#CE8E76,55,50,49,#373231
2025-04-05 14:26:07,40,32,37,#282025,109,57,57,#6D3939,206,142,118,#CE8E76,57,51,49,#393331
2025-04-05 14:26:07,37,32,38,#252026,112,57,56,#703938,207,142,117,#CF8E75,56,50,48,#383230
2025-04-05 14:26:07,36,35,39,#242327,112,56,56,#703838,207,142,118,#CF8E76,60,52,48,#3C3430
2025-04-05 14:26:07,36,33,36,#242124,111,56,56,#6F3838,207,142,118,#CF8E76,60,53,50,#3C3532
2025-04-05 14:26:07,34,34,38,#222226,111,56,56,#6F3838,207,142,118,#CF8E76,61,52,50,#3D3432
2025-04-05 14:26:07,34,34,38,#222226,110,56,57,#6E3839,207,143,116,#CF8F74,60,52,50,#3C3432
2025-04-05 14:26:07,32,35,38,#202326,110,56,57,#6E3839,207,142,118,#CF8E76,60,52,50,#3C3432
2025-04-05 14:26:07,32,34,37,#202225,111,56,57,#6F3839,207,142,118,#CF8E76,60,52,51,#3C3433
2025-04-05 14:26:07,34,33,37,#222125,111,56,57,#6F3839,207,142,118,#CF8E76,60,52,51,#3C3433
2025-04-05 14:26:07,35,33,39,#232127,111,56,58,#6F383A,207,142,118,#CF8E76,60,52,49,#3C3431
2025-04-05 14:26:07,35,33,38,#232126,110,56,58,#6E383A,207,142,118,#CF8E76,60,51,49,#3C3331
2025-04-05 14:26:07,34,32,36,#222024,111,56,58,#6F383A,208,142,118,#D08E76,59,51,49,#3B3331
2025-04-05 14:26:07,34,32,36,#222024,111,56,57,#6F3839,207,142,118,#CF8E76,60,51,49,#3C3331
2025-04-05 14:26:07,33,34,38,#212226,111,57,56,#6F3938,208,144,119,#D09077,60,51,48,#3C3330
2025-04-05 14:26:07,34,34,37,#222225,111,57,58,#6F393A,207,143,118,#CF8F76,61,52,48,#3D3430
2025-04-05 14:26:07,35,35,38,#232326,112,57,58,#70393A,208,143,119,#D08F77,61,52,48,#3D3430
2025-04-05 14:26:07,35,35,38,#232326,110,57,58,#6E393A,208,144,120,#D09078,61,52,49,#3D3431
2025-04-05 14:26:07,36,34,39,#242227,110,57,58,#6E393A,207,143,118,#CF8F76,61,52,50,#3D3432
2025-04-05 14:26:07,29,30,33,#1D1E21,111,57,58,#6F393A,206,141,117,#CE8D75,62,53,49,#3E3531
2025-04-05 14:26:07,34,32,33,#222021,111,57,59,#6F393B,206,142,117,#CE8E75,56,50,49,#383231
2025-04-05 14:26:07,33,32,34,#212022,111,57,59,#6F393B,206,142,118,#CE8E76,61,50,47,#3D322F
2025-04-05 14:26:07,33,34,39,#212227,111,58,59,#6F3A3B,206,142,117,#CE8E75,58,49,45,#3A312D
2025-04-05 14:26:08,35,32,38,#232026,110,59,59,#6E3B3B,206,142,118,#CE8E76,59,55,51,#3B3733
2025-04-05 14:26:08,36,32,39,#242027,112,58,60,#703A3C,206,141,117,#CE8D75,58,54,50,#3A3632
2025-04-05 14:26:08,35,32,38,#232026,111,58,59,#6F3A3B,206,143,118,#CE8F76,59,54,50,#3B3632
2025-04-05 14:26:08,32,32,36,#202024,110,58,59,#6E3A3B,206,142,118,#CE8E76,58,53,49,#3A3531
2025-04-05 14:26:08,34,33,37,#222125,112,58,59,#703A3B,206,141,117,#CE8D75,59,54,49,#3B3631
2025-04-05 14:26:08,34,32,38,#222026,110,57,58,#6E393A,206,142,118,#CE8E76,59,54,49,#3B3631
2025-04-05 14:26:08,34,32,38,#222026,112,57,59,#70393B,206,141,117,#CE8D75,58,52,48,#3A3430
2025-04-05 14:26:08,33,32,36,#212024,111,57,59,#6F393B,206,142,118,#CE8E76,59,53,50,#3B3532
2025-04-05 14:26:08,35,30,40,#231E28,110,57,59,#6E393B,206,142,118,#CE8E76,59,52,49,#3B3431
2025-04-05 14:26:08,31,33,38,#1F2126,110,57,59,#6E393B,206,142,118,#CE8E76,59,52,49,#3B3431
2025-04-05 14:26:08,29,30,32,#1D1E20,111,57,60,#6F393C,206,143,118,#CE8F76,60,53,50,#3C3532
2025-04-05 14:26:08,29,31,33,#1D1F21,110,56,59,#6E383B,207,143,119,#CF8F77,60,52,49,#3C3431
2025-04-05 14:26:08,29,31,33,#1D1F21,110,56,60,#6E383C,206,143,118,#CE8F76,58,52,49,#3A3431
2025-04-05 14:26:08,31,34,34,#1F2222,110,57,60,#6E393C,205,142,117,#CD8E75,59,52,50,#3B3432
2025-04-05 14:26:08,31,32,39,#1F2027,110,57,61,#6E393D,207,143,117,#CF8F75,58,51,49,#3A3331
2025-04-05 14:26:08,32,33,40,#202128,110,57,61,#6E393D,207,143,117,#CF8F75,60,52,50,#3C3432
2025-04-05 14:26:08,32,31,40,#201F28,110,57,61,#6E393D,206,143,117,#CE8F75,59,52,50,#3B3432
2025-04-05 14:26:08,32,31,38,#201F26,110,58,61,#6E3A3D,207,142,118,#CF8E76,59,53,51,#3B3533
2025-04-05 14:26:08,34,32,39,#222027,110,57,61,#6E393D,207,143,118,#CF8F76,58,52,50,#3A3432
2025-04-05 14:26:08,34,32,38,#222026,110,57,60,#6E393C,207,143,118,#CF8F76,58,53,50,#3A3532
2025-04-05 14:26:08,35,33,38,#232126,110,57,60,#6E393C,207,142,118,#CF8E76,59,52,50,#3B3432
2025-04-05 14:26:08,34,32,37,#222025,110,57,60,#6E393C,207,142,118,#CF8E76,58,52,50,#3A3432
2025-04-05 14:26:08,32,33,35,#202123,110,57,60,#6E393C,206,143,118,#CE8F76,58,52,50,#3A3432
2025-04-05 14:26:08,31,35,37,#1F2325,110,57,59,#6E393B,206,144,119,#CE9077,59,53,49,#3B3531
2025-04-05 14:26:08,30,34,37,#1E2225,110,57,59,#6E393B,206,143,119,#CE8F77,58,52,49,#3A3431
2025-04-05 14:26:08,32,31,38,#201F26,110,56,59,#6E383B,206,144,119,#CE9077,58,53,49,#3A3531
2025-04-05 14:26:09,32,32,37,#202025,110,56,59,#6E383B,206,143,119,#CE8F77,59,53,50,#3B3532
2025-04-05 14:26:09,32,31,36,#201F24,111,56,58,#6F383A,207,143,119,#CF8F77,58,53,51,#3A3533
2025-04-05 14:26:09,31,31,36,#1F1F24,110,57,58,#6E393A,206,143,119,#CE8F77,59,54,51,#3B3633
2025-04-05 14:26:09,31,31,37,#1F1F25,110,57,58,#6E393A,206,143,119,#CE8F77,59,54,51,#3B3633
2025-04-05 14:26:09,32,32,36,#202024,110,57,58,#6E393A,206,143,119,#CE8F77,60,53,50,#3C3532
