Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 14:30:23,87,66,62,#57423E,144,75,78,#904B4E,173,119,101,#AD7765,115,85,72,#735548
2025-04-05 14:30:23,89,72,64,#594840,143,74,77,#8F4A4D,172,119,100,#AC7764,117,87,71,#755747
2025-04-05 14:30:23,64,51,51,#403333,142,74,75,#8E4A4B,173,119,101,#AD7765,115,86,71,#735647
2025-04-05 14:30:23,59,51,51,#3B3333,145,76,76,#914C4C,173,119,101,#AD7765,114,86,70,#725646
2025-04-05 14:30:23,59,49,51,#3B3133,144,75,75,#904B4B,173,119,101,#AD7765,109,81,66,#6D5142
2025-04-05 14:30:23,59,48,53,#3B3035,146,75,77,#924B4D,173,119,101,#AD7765,112,83,69,#705345
2025-04-05 14:30:23,61,49,51,#3D3133,146,76,78,#924C4E,172,118,100,#AC7664,111,82,70,#6F5246
2025-04-05 14:30:23,59,48,49,#3B3031,145,75,77,#914B4D,173,119,100,#AD7764,111,83,68,#6F5344
2025-04-05 14:30:23,61,49,50,#3D3132,142,75,77,#8E4B4D,172,118,100,#AC7664,112,83,68,#705344
2025-04-05 14:30:23,62,50,50,#3E3232,143,74,77,#8F4A4D,173,119,101,#AD7765,110,81,67,#6E5143
2025-04-05 14:30:23,61,49,49,#3D3131,143,74,77,#8F4A4D,172,118,100,#AC7664,109,81,67,#6D5143
2025-04-05 14:30:23,61,49,50,#3D3132,144,74,78,#904A4E,172,118,100,#AC7664,109,81,66,#6D5142
2025-04-05 14:30:23,61,49,50,#3D3132,144,74,77,#904A4D,172,118,100,#AC7664,105,78,66,#694E42
2025-04-05 14:30:23,61,48,51,#3D3033,143,74,78,#8F4A4E,172,118,100,#AC7664,108,80,69,#6C5045
2025-04-05 14:30:23,61,49,51,#3D3133,144,74,77,#904A4D,172,118,100,#AC7664,106,78,70,#6A4E46
2025-04-05 14:30:23,62,49,52,#3E3134,144,74,77,#904A4D,172,118,100,#AC7664,105,78,69,#694E45
2025-04-05 14:30:23,59,47,49,#3B2F31,144,73,77,#90494D,172,118,100,#AC7664,105,78,68,#694E44
2025-04-05 14:30:23,56,46,49,#382E31,144,73,77,#90494D,172,118,100,#AC7664,106,80,67,#6A5043
2025-04-05 14:30:23,56,46,49,#382E31,144,73,77,#90494D,172,118,100,#AC7664,106,80,67,#6A5043
2025-04-05 14:30:23,56,46,49,#382E31,143,73,77,#8F494D,172,118,100,#AC7664,104,78,65,#684E41
2025-04-05 14:30:23,58,49,52,#3A3134,144,74,79,#904A4F,172,118,100,#AC7664,106,79,67,#6A4F43
2025-04-05 14:30:23,60,46,42,#3C2E2A,144,74,78,#904A4E,172,118,100,#AC7664,106,78,68,#6A4E44
