name,season,undertone,image,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
Beyonce,True Autumn,Warm,https://static.wikia.nocookie.net/beyonce/images/2/2e/Beyonc%C3%A9.jpg/revision/latest?cb=20241210091706,93,101,108,#5D656C,127,60,55,#7F3C37,138,78,60,#8A4E3C,77,50,41,#4D3229
Lady Gaga,Soft Autumn,Warm,"https://hips.hearstapps.com/hmg-prod/images/lady-gaga-attends-the-64th-annual-grammy-awards-at-mgm-news-photo-1727455427.jpg?crop=1.00xw:0.667xh;0,0.0477xh&resize=640:*",212,151,133,#D49785,240,186,175,#F0BAAF,76,53,48,#4C3530,201,146,132,#C99284
Hrithik Roshan,Deep Autumn,Warm,https://i.pinimg.com/originals/9c/d8/41/9cd84147abfb5851f222482e5f6719ce.jpg,154,139,124,#9A8B7C,105,54,47,#69362F,222,145,106,#DE916A,58,29,20,#3A1D14
Taylor Swift,Light Spring,Warm,https://www.hollywoodreporter.com/wp-content/uploads/2012/10/taylor_a.jpg?w=1440&h=810&crop=1,96,77,64,#604D40,178,43,37,#B22B25,218,151,113,#DA9771,140,93,55,#8C5D37
Tate Mcrae,Soft Autumn,Warm,https://ntvb.tmsimg.com/assets/assets/979574_v9_aa.jpg,112,88,75,#70584B,184,113,102,#B87166,244,199,178,#F4C7B2,103,61,47,#673D2F
Michelle Dockery,Soft Autumn,Warm,https://media.themoviedb.org/t/p/w500/pgPJGf2wAPgoC6Bp5PBJYQV7IVt.jpg,101,72,60,#65483C,142,72,72,#8E4848,237,185,164,#EDB9A4,56,36,28,#38241C
Paul Rudd,Light Summer,Neutral,https://upload.wikimedia.org/wikipedia/commons/a/a1/Paul_Rudd_%28cropped%29.jpg,102,74,60,#664A3C,165,58,60,#A53A3C,232,154,132,#E89A84,99,51,38,#633326
Sofia Vergara,True Autumn,Warm,https://media.zenfs.com/en/shefinds_255/9feb1ca1273e3d3999cbd25b96c7f4c9,169,157,149,#A99D95,157,79,73,#9D4F49,233,173,158,#E9AD9E,105,73,62,#69493E
Elizabeth McGovern,Cool Summer,Cool,https://i.pinimg.com/474x/c9/87/30/c98730112dba272090041897086b7553.jpg,136,118,128,#887680,164,117,92,#A4755C,188,138,114,#BC8A72,85,63,54,#553F36
Leonardo DiCaprio,Soft Summer,Cool,https://ew.com/thmb/hUEL_TSd0WAFZZxqQlyrmN8_TwI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/gettyimages-72692819-cf4403d6eefa44d1a2fc3e6a0b7aef13.jpg,116,95,74,#745F4A,215,162,145,#D7A291,241,178,144,#F1B290,140,100,70,#8C6446
Sandra Bullock,Deep Winter,Neutral ,https://media.glamour.com/photos/5695a66a16d0dc3747ed11cf/master/w_1600%2Cc_limit/beauty-2015-06-sandra-bullock-50-age-photo-1-main.jpg,92,74,71,#5C4A47,175,81,65,#AF5141,217,139,110,#D98B6E,81,50,37,#513225
Harrison Ford,True Winter,Cool,"https://hips.hearstapps.com/hmg-prod/images/american-actor-harrison-ford-news-photo-1629205435.jpg?crop=1.00xw:0.667xh;0,0.0260xh&resize=640:*",75,55,51,#4B3733,129,70,68,#814644,191,135,135,#BF8787,53,42,41,#352A29
Samuel L. Jackson,Deep Winter,Cool,https://piemediagroup.com/wp-content/uploads/2017/12/BOOK_Jackson_Sam-1800x1006.jpg,106,98,94,#6A625E,108,78,70,#6C4E46,98,56,41,#623829,142,107,92,#8E6B5C
Johnny Depp,Deep Winter,Cool ,"https://hips.hearstapps.com/hmg-prod/images/actor-johnny-depp-attends-the-jeanne-du-barry-photocall-at-news-photo-1685634329.jpg?crop=1.00xw:0.669xh;0,0.0477xh&resize=640:*",103,86,85,#675655,156,92,93,#9C5C5D,191,133,115,#BF8573,155,112,97,#9B7061
Tom Cruise,Bright Winter,Cool ,https://m.media-amazon.com/images/M/MV5BMmU1YWU1NmMtMjAyMi00MjFiLWFmZmUtOTc1ZjI5ODkxYmQyXkEyXkFqcGc@._V1_.jpg,59,35,33,#3B2321,117,46,40,#752E28,197,119,104,#C57768,186,127,100,#BA7F64
Simu Liu,Deep Winter ,Cool ,https://images.entertainment.ie/person/xc7I32luBZfJgx9lm92aT9xiI6T.jpg,110,92,85,#6E5C55,110,54,54,#6E3636,216,188,165,#D8BCA5,25,25,23,#191917
Gong Yoo,True Summer,Cool,https://images.fandango.com/ImageRenderer/0/0/redesign/static/img/default_poster.png/0/images/masterrepository/performer%20images/253446/GongYoo.jpg,83,61,57,#533D39,140,40,48,#8C2830,211,143,109,#D38F6D,65,38,35,#412623
Michelle Yeoh,Deep Summer,Cool ,https://cdn.britannica.com/98/238198-050-9A1C1028/Michelle-Yeoh-2022.jpg,129,100,89,#816459,134,69,62,#86453E,218,138,101,#DA8A65,91,51,32,#5B3320
Kal Penn,Soft Autumn,Warm,https://m.media-amazon.com/images/M/MV5BMTQ4NjM4NzczNF5BMl5BanBnXkFtZTcwNDc2NjAwNw@@._V1_.jpg,105,100,95,#69645F,139,63,54,#8B3F36,197,141,104,#C58D68,41,39,35,#292723
Richa Moorjani,Bright Spring,Warm,https://ntvb.tmsimg.com/assets/assets/1338337_v9_aa.jpg,65,55,56,#413738,163,82,90,#A3525A,213,144,118,#D59076,136,96,85,#886055
Chris Hemsworth,Warm Spring ,Warm,https://cdn.britannica.com/92/215392-050-96A4BC1D/Australian-actor-Chris-Hemsworth-2019.jpg,74,76,81,#4A4C51,117,76,82,#754C52,198,169,165,#C6A9A5,84,68,64,#544440
Rihanna,Soft Summer ,Cool ,https://hips.hearstapps.com/hmg-prod/images/rihanna-no-makeup-selfie-1627904739.jpg,97,86,96,#615660,158,20,33,#9E1421,224,169,157,#E0A99D,168,118,111,#A8766F
Jennie,Deep Autumn,Warm,https://i.pinimg.com/736x/69/67/03/6967031a50e43d5aa6fe81e5fe32c7e1.jpg,98,85,81,#625551,149,102,93,#95665D,222,180,166,#DEB4A6,139,108,100,#8B6C64
